,Fail_num,Score,Fitness,Sharpe,Returns,Turnover,Drawdown,Self_Corr,Exec_time,Generation,Thread_num,Task_num,Alpha,From_process
1191,5,0.972,0.84,1.08,-7.49%,2.39%,79.02%,,49.20s,4,5,13,"trade_when(ts_mean(returns, 20) - 0.01, ts_sum(ts_delta(ts_min(correlation_last_60_days_spy**5 + snt_value**2, 15), 9), 21)/ts_sum(ts_min(ts_rank(ts_min(snt_social_value, 2), 3), 8), 15), -1)",19
1192,5,0.9695,1.14,0.83,-23.65%,6.64%,257.37%,,51.15s,5,4,17,"trade_when(ts_mean(returns, 20) - 0.01, ts_rank(ts_min(snt_social_value, 2), 3)*ts_sum(snt_value, 120)*ts_sum(0.2686*scl12_sentiment + 1.7314*snt_value, 120)/(ts_sum(ts_min(systematic_risk_last_90_days, 8), 15)**2*ts_sum(ts_min(ts_mean(systematic_risk_last_90_days, 3), 8), 15)**2), -1)",19
1193,5,0.951,0.39,1.41,-3.24%,41.47%,34.47%,,105.91s,3,1,11,"2*rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(ts_corr(rank(rating), rank(0.61626*beta_last_60_days_spy + 0.38374*beta_last_90_days_spy), 8))), 7)",13
1194,5,0.9165,0.46,1.29,-5.18%,41.62%,55.88%,,26.23s,2,2,6,"ts_mean(rating, 2)",14
1195,5,0.9165,0.46,1.29,-5.18%,41.62%,55.88%,,28.23s,3,3,7,"ts_mean(rating, 2)",14
1196,5,0.9055,0.35,1.36,-2.81%,41.47%,29.87%,,42.32s,5,3,17,"rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(sign(ts_rank(ts_max(ts_mean(beta_last_30_days_spy, 8), 60), 45))), 7) - ts_max(unsystematic_risk_last_90_days, 15)",13
1197,5,0.904,0.31,1.39,-2.12%,41.47%,23.13%,,6.07s,4,5,15,"rank(ts_corr(rank(rating), rank(0.61626*beta_last_60_days_spy + 0.38374*beta_last_90_days_spy), 8)) - ts_max(unsystematic_risk_last_90_days, 15)",13
1198,5,0.901,0.34,1.36,-2.64%,41.47%,28.47%,,46.33s,3,5,11,"rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(rank(ts_covariance(snt_value, unsystematic_risk_last_90_days, 5)))), 7) - ts_max(unsystematic_risk_last_90_days, 15)",13
1199,5,0.901,0.34,1.36,-2.64%,41.47%,28.47%,,54.40s,4,5,16,"rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(rank(rank(ts_covariance(snt_value, unsystematic_risk_last_90_days, 5))))), 7) - ts_max(unsystematic_risk_last_90_days, 15)",13
1200,5,0.878,0.57,1.13,-12.01%,47.98%,119.14%,,36.37s,3,5,4,0.69915*scl12_buzz + 0.30085*snt_buzz - unsystematic_risk_last_30_days,5
1201,5,0.8695,0.38,1.27,-3.73%,41.47%,40.85%,,30.27s,4,10,16,2*rating + unsystematic_risk_last_90_days,13
1202,5,0.8645,0.32,1.31,-2.45%,41.47%,25.86%,,42.38s,2,1,9,"rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(ts_corr(rank(rating), rank(0.61626*beta_last_60_days_spy + 0.38374*beta_last_90_days_spy), 8))), 7)",13
1203,5,0.8645,0.32,1.31,-2.45%,41.47%,25.86%,,56.42s,3,8,11,"rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(rank(ts_corr(rank(rating), rank(0.61626*beta_last_60_days_spy + 0.38374*beta_last_90_days_spy), 8)))), 7)",13
1204,5,0.8645,0.32,1.31,-2.45%,41.47%,25.86%,,48.49s,4,8,14,"2*rating + 2*ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(ts_corr(rank(rating), rank(0.61626*beta_last_60_days_spy + 0.38374*beta_last_90_days_spy), 8))), 7)",13
1205,5,0.8585,0.38,1.25,-3.77%,41.47%,42.23%,,28.26s,2,7,7,rating**2,6
1206,5,0.8585,0.38,1.25,-3.77%,41.47%,42.23%,,30.33s,1,9,1,rating**2,6
1207,5,0.855,0.36,1.26,-3.39%,41.47%,37.51%,,32.35s,2,9,6,2*rating + 2*scl12_sentiment + rank(snt_value),6
1208,5,0.8525,0.33,1.28,-2.82%,41.47%,30.83%,,71.18s,4,2,17,"rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(rank(ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(ts_corr(rank(rating), rank(0.61626*beta_last_60_days_spy + 0.38374*beta_last_90_days_spy), 8))), 7)))), 7)",13
1209,5,0.8445,0.74,0.93,-7.82%,4.70%,79.09%,,34.39s,2,8,7,"trade_when(ts_mean(returns, 20) - 0.01, -ts_max(unsystematic_risk_last_90_days, 15) + ts_std_dev(scl12_buzz, 3), -1)",13
1210,5,0.8445,0.74,0.93,-7.82%,4.70%,79.09%,,32.41s,4,8,12,"trade_when(ts_mean(returns, 20) - 0.01, -ts_max(unsystematic_risk_last_90_days, 15) + ts_std_dev(scl12_buzz, 3), -1)",13
1211,5,0.835,0.34,1.24,-3.08%,41.47%,33.28%,,30.32s,4,10,13,2*rating + snt_value,12
1212,5,0.8285,0.35,1.22,-3.32%,41.47%,37.21%,,30.28s,1,5,2,rating + scl12_sentiment + rank(snt_value),6
1213,5,0.8225,0.3,1.25,-2.43%,41.47%,27.02%,,38.72s,4,4,14,"rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(ts_max(unsystematic_risk_last_90_days, 15)), 7)",13
1214,5,0.8225,0.3,1.25,-2.43%,41.47%,27.02%,,38.56s,3,7,12,"rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(ts_max(unsystematic_risk_last_90_days, 15))), 7)",13
1215,5,0.819,0.72,0.9,-7.98%,3.14%,83.10%,,34.29s,5,1,18,"rank(ts_max(unsystematic_risk_last_90_days, 15)) - ts_max(unsystematic_risk_last_90_days, 15)",13
1216,5,0.815,0.32,1.22,-2.83%,41.55%,29.29%,,44.42s,2,9,7,"ts_mean(ts_rank(rating + scl12_sentiment + rank(snt_value), 120), 3)",6
1217,5,0.812,0.35,1.19,-3.54%,41.47%,40.06%,,30.26s,2,3,8,rating**2 + rank(snt_value),6
1218,5,0.804,0.98,0.66,-27.37%,8.99%,282.79%,,36.28s,2,1,6,"trade_when(ts_mean(returns, 20) - 0.01, snt_buzz**4, -1)",10
1219,5,0.804,0.98,0.66,-27.37%,8.99%,282.79%,,32.60s,3,4,10,"trade_when(ts_mean(returns, 20) - 0.01, snt_buzz**4, -1)",10
1220,5,0.804,0.98,0.66,-27.37%,8.99%,282.79%,,28.25s,3,5,9,"trade_when(ts_mean(returns, 20) - 0.01, abs(snt_buzz)**4, -1)",10
1221,5,0.804,0.98,0.66,-27.37%,8.99%,282.79%,,42.32s,3,8,10,"trade_when(ts_mean(returns, 20) - 0.01, abs(snt_buzz**2)**2, -1)",10
1222,5,0.793,0.32,1.18,-2.97%,41.47%,33.25%,,28.27s,4,4,13,rating + correlation_last_90_days_spy/correlation_last_60_days_spy,13
1223,5,0.7885,0.31,1.18,-2.91%,41.47%,31.26%,,30.24s,5,5,15,3*rating + 2*snt_value,12
1224,5,0.785,0.29,1.19,-2.45%,41.47%,26.48%,,46.38s,2,1,7,"rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(rank(ts_covariance(snt_value, unsystematic_risk_last_90_days, 5)))), 7)",13
1225,5,0.785,0.29,1.19,-2.45%,41.47%,26.48%,,44.40s,1,7,2,"rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(ts_covariance(snt_value, unsystematic_risk_last_90_days, 5))), 7)",13
1226,5,0.7825,0.26,1.21,-1.91%,41.47%,21.32%,,56.96s,3,1,10,"rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rating + ts_corr(rank(correlation_last_90_days_spy/correlation_last_60_days_spy), rank(rank(ts_corr(rank(rating), rank(0.61626*beta_last_60_days_spy + 0.38374*beta_last_90_days_spy), 8))), 7)), 7)",13
1227,5,0.7755,0.33,1.14,-3.54%,41.47%,40.67%,,28.26s,2,4,7,rating*(rating + scl12_sentiment + rank(snt_value)),6
1228,5,0.7635,0.34,1.11,-3.88%,41.47%,38.27%,,32.46s,5,1,17,"2*rating + ts_mean(unsystematic_risk_last_90_days**4, 4)",12
1229,5,0.7535,0.66,0.83,9.81%,15.30%,25.27%,,35.78s,2,1,7,"ts_sum(0.39022*scl12_buzz + 0.60978*snt_buzz + 0.60394*systematic_risk_last_30_days + 0.39606*systematic_risk_last_60_days, 6)",20
1230,5,0.7205,0.33,1.04,-4.23%,41.47%,41.86%,,30.69s,5,9,15,"rating + ts_mean(unsystematic_risk_last_90_days**4, 4)",12
1231,5,0.7185,0.79,0.66,-17.90%,6.29%,191.22%,,54.67s,4,5,14,"trade_when(ts_mean(returns, 20) - 0.01, ts_delay(ts_std_dev(beta_last_30_days_spy/beta_last_90_days_spy + scl12_buzz/snt_buzz, 5), 10)*ts_rank(ts_min(snt_social_value, 2), 3)/(ts_sum(ts_min(systematic_risk_last_90_days, 8), 15)*ts_sum(ts_min(ts_mean(systematic_risk_last_90_days, 3), 8), 15)), -1)",19
